"second","GiannisAntetokounmpo","MalcolmBrogdon","MatthewDellavedova","TonySnell","GregMonroe","JohnHenson","MirzaTeletovic","JasonTerry","KhrisMiddleton","ThonMaker","RashadVaughn","SpencerHawes","TerrenceJones","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
0,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
1,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
2,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
3,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
4,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
5,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
6,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
7,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
8,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
9,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
10,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
11,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
12,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
13,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
14,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
15,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
16,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
17,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
18,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
19,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
20,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
21,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
22,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
23,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
24,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
25,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
26,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
27,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
28,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
29,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
30,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
31,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
32,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
33,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
34,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
35,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
36,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
37,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
38,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
39,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
40,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
41,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
42,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
43,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
44,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
45,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
46,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
47,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
48,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
49,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
50,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
51,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
52,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
53,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
54,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
55,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
56,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
57,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
58,66,18,49,66,0,38,2,0,9,19,1,0,0,0,5,50,12,0
