"second","GiannisAntetokounmpo","MalcolmBrogdon","MatthewDellavedova","TonySnell","GregMonroe","JohnHenson","MirzaTeletovic","JasonTerry","KhrisMiddleton","ThonMaker","RashadVaughn","SpencerHawes","TerrenceJones","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
0,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
1,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
2,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
3,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
4,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
5,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
6,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
7,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
8,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
9,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
10,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
11,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
12,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
13,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
14,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
15,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
16,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
17,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
18,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
19,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
20,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
21,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
22,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
23,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
24,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
25,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
26,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
27,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
28,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
29,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
30,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
31,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
32,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
33,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
34,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
35,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
36,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
37,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
38,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
39,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
40,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
41,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
42,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
43,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
44,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
45,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
46,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
47,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
48,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
49,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
50,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
51,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
52,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
53,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
54,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
55,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
56,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
57,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
58,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
59,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
60,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
61,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
62,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
63,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
64,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
65,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
66,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
67,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
68,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
69,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
70,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
71,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
72,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
73,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
74,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
75,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
76,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
77,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
78,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
79,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
80,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
81,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
82,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
83,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
84,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
85,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
86,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
87,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
88,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
89,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
90,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
91,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
92,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
93,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
94,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
95,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
96,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
97,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
98,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
99,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
100,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
101,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
102,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
103,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
104,35,9,27,35,0,18,2,0,6,11,1,0,0,0,2,26,8,0
