"second","GiannisAntetokounmpo","MalcolmBrogdon","MatthewDellavedova","TonySnell","GregMonroe","JohnHenson","MirzaTeletovic","JasonTerry","KhrisMiddleton","ThonMaker","RashadVaughn","SpencerHawes","TerrenceJones","AxelToupane","MichaelBeasley","JabariParker","MilesPlumlee","SteveNovak"
0,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
1,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
2,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
3,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
4,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
5,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
6,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
7,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
8,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
9,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
10,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
11,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
12,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
13,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
14,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
15,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
16,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
17,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
18,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
19,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
20,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
21,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
22,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
23,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
24,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
25,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
26,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
27,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
28,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
29,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
30,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
31,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
32,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
33,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
34,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
35,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
36,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
37,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
38,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
39,31,9,22,31,0,20,0,0,3,8,0,0,0,0,3,24,4,0
